season,team,conference,totalPlays,passingPlays,rushingPlays
2004,Virginia Tech,ACC,687,270.0,388.99999999999994
2004,Wake Forest,ACC,694,233.99999999999997,440.0
2004,Washington,Pac-12,751,368.0,364.0
2004,Washington State,Pac-12,690,353.0,324.0
2004,Western Kentucky,Conference USA,45,21.0,23.0
2004,Western Michigan,Mid-American,118,62.00000000000001,53.0
2004,West Virginia,Big 12,648,202.0,425.0
2004,Wisconsin,Big Ten,719,264.0,426.99999999999994
2004,Wyoming,Mountain West,199,107.0,85.0
2005,Air Force,Mountain West,566,154.0,402.00000000000006
2005,Akron,Mid-American,868,530.0,326.0
2005,Alabama,SEC,737,347.0,374.0
2005,Appalachian State,Sun Belt,94,43.0,50.99999999999999
2005,Arizona,Pac-12,562,313.0,243.0
2005,Arizona State,Pac-12,763,425.99999999999994,329.0
2005,Arkansas,SEC,419,172.0,238.0
2005,Arkansas State,Sun Belt,125,48.0,75.0
2005,Army,FBS Independents,573,240.0,325.0
2005,Auburn,SEC,671,299.0,361.0
2005,Ball State,Mid-American,523,266.0,251.0
2005,Baylor,Big 12,550,303.0,236.0
2005,Boise State,Mountain West,287,147.0,136.0
2005,Boston College,ACC,772,386.0,375.0
2005,Bowling Green,Mid-American,572,321.0,247.0
2005,Buffalo,Mid-American,565,290.0,272.0
2005,BYU,FBS Independents,736,438.99999999999994,286.0
2005,California,Pac-12,661,293.0,359.0
2005,Central Michigan,Mid-American,703,365.0,327.0
2005,Cincinnati,American Athletic,632,298.0,330.0
2005,Clemson,ACC,780,371.0,386.0
2005,Colorado,Pac-12,642,347.99999999999994,276.0
2005,Colorado State,Mountain West,657,323.0,321.0
2005,Connecticut,American Athletic,651,299.0,340.0
2005,Duke,ACC,551,244.0,300.0
2005,East Carolina,American Athletic,646,311.0,320.0
2005,Eastern Michigan,Mid-American,647,363.0,268.0
2005,Florida,SEC,717,366.99999999999994,337.0
2005,Florida Atlantic,Conference USA,186,80.0,102.99999999999999
2005,Florida International,Conference USA,49,26.0,22.0
2005,Florida State,ACC,640,384.0,241.0
2005,Fresno State,Mountain West,572,295.0,268.0
2005,Georgia,SEC,726,322.0,384.0
2005,Georgia Tech,ACC,808,396.0,400.0
2005,Hawai'i,Mountain West,288,195.0,89.0
2005,Houston,American Athletic,756,375.0,368.0
2005,Illinois,Big Ten,561,265.0,285.0
2005,Indiana,Big Ten,574,291.00000000000006,280.0
2005,Iowa,Big Ten,696,357.00000000000006,323.0
2005,Iowa State,Big 12,718,337.0,368.0
2005,Kansas,Big 12,696,351.0,328.0
2005,Kansas State,Big 12,338,146.0,186.0
2005,Kent State,Mid-American,473,306.0,161.0
2005,Kentucky,SEC,416,224.0,184.0
